ћарка;—сылка;÷ена в $;÷ена в UAH;√ород
Volkswagen Touareg 2022Elegance 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1884637.html;75 000 $;2 871 000 грн;ѕолтава 
Volkswagen Touareg 2022Ambience 3.0 TDI AT (286 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1884607.html;82 814 $;3 170 120 грн;«апор≥жж€ 
Volkswagen Touareg 2020Touareg 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1884199.html;54 075 $; 60 000 $;«апор≥жж€ 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1884119.html;21 769 $;833 332 грн;«апор≥жж€ 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883960.html;22 155 $;848 100 грн;’мельницький 
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1883551.html;21 421 $; 22 380 $;ќдеса 
Volkswagen Arteon Shooting Brake 2021R-Line 2.0 TSI DSG (280 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-arteon-shooting-brake-1883154.html;45 480 $;1 740 970 грн;ƒн≥про (ƒн≥пропетровськ) 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882925.html;22 076 $;845 088 грн;Ћьв≥в 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882922.html;22 624 $;866 036 грн;Ћьв≥в 
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1883188.html;19 984 $;765 000 грн;∆итомир 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883058.html;22 622 $; 26 300 $;≤вано-‘ранк≥вськ 
Volkswagen Golf GTI 20212.0 TSI DSG (245 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-gti-1880020.html;30 607 $;1 171 651 грн; ињв 
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883057.html;24 895 $;952 990 грн;≤вано-‘ранк≥вськ 
Volkswagen Golf GTI 20212.0 TSI DSG (245 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-gti-1880014.html;32 308 $;1 236 742 грн; ињв 
Volkswagen T-Cross 2022Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882826.html;19 692 $;753 800 грн;„ерн≥вц≥ 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882682.html;29 600 $;888 000 грн;Ћуцьк 
Volkswagen Passat 2021Elegance 2.0 TDI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-passat-1882684.html;47 700 $;1 431 000 грн;Ћуцьк 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1879253.html;22 989 $;880 000 грн;∆итомир 
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1881749.html;19 227 $;736 000 грн;∆итомир 
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1872122.html;23 877 $;914 000 грн;„ерн≥вц≥ 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1866623.html;29 850 $;804 129 грн; ињв 
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1880442.html;25 535 $;687 887 грн; ињв 
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1880444.html;29 410 $;792 276 грн; ињв 
Volkswagen Tiguan 2022Elegance 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884633.html;44 735 $;1 712 456 грн;«апор≥жж€ 
Volkswagen Tiguan 2022R-Line 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884631.html;37 670 $;1 442 000 грн;„ерн≥вц≥ 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884632.html;46 960 $;1 797 629 грн;«апор≥жж€ 
Volkswagen Multivan 2022Bulli 2.0 TDI DSG (199 к.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-multivan-1884623.html;67 883 $;2 598 580 грн;’мельницький 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884606.html;32 256 $;1 234 772 грн;’мельницький 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884608.html;32 502 $;1 244 195 грн;’мельницький 
Volkswagen Tiguan 2022Elegance 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884615.html;43 336 $;1 658 902 грн;«апор≥жж€ 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884589.html;32 142 $;1 230 380 грн;’мельницький 
Volkswagen Tiguan 2021R-Line 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884591.html;38 448 $;1 471 778 грн;’мельницький 
Volkswagen Golf 2022Life 1.6 MPI AT (110 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1884586.html;20 256 $;775 390 грн;’мельницький 
Volkswagen T6 (Transporter) пасс. 2021City 2.0 TDI MT (150 к.с.) L2H1;https://auto.ria.com/newauto/auto-volkswagen-t6-transporter-pass-1884555.html;47 500 $;1 818 300 грн;≤вано-‘ранк≥вськ 
Volkswagen T6 (Transporter) пасс. 2021City 2.0 TDI MT (150 к.с.) L2H1;https://auto.ria.com/newauto/auto-volkswagen-t6-transporter-pass-1884551.html;47 500 $;1 818 300 грн;≤вано-‘ранк≥вськ 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1884554.html;30 102 $;1 152 305 грн;≤вано-‘ранк≥вськ 
Volkswagen Multivan 2022Bulli 2.0 TDI DSG (199 к.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-multivan-1884546.html;67 268 $;2 575 000 грн;’мельницький 
Volkswagen Tiguan 2022R-Line 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884566.html;54 130 $;2 072 096 грн;≤вано-‘ранк≥вськ 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884557.html;42 709 $;1 634 900 грн;≤вано-‘ранк≥вськ 
Volkswagen T6 (Transporter) пасс. 2022City 2.0 TDI MT (150 к.с.) L1H1;https://auto.ria.com/newauto/auto-volkswagen-t6-transporter-pass-1884556.html;46 000 $;1 760 880 грн;≤вано-‘ранк≥вськ 
Volkswagen T6 (Transporter) пасс. 2022City 2.0 TDI MT (150 к.с.) L1H1;https://auto.ria.com/newauto/auto-volkswagen-t6-transporter-pass-1884549.html;46 000 $;1 760 880 грн;≤вано-‘ранк≥вськ 
Volkswagen Touareg 2022Elegance 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1884563.html;75 716 $;2 898 408 грн;≤вано-‘ранк≥вськ 
Volkswagen Tiguan 2022R-Line 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884562.html;54 130 $;2 072 096 грн;≤вано-‘ранк≥вськ 
Volkswagen Tiguan 2022R-Line 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884457.html;34 509 $;1 321 000 грн;„ерн≥вц≥ 
Volkswagen Crafter груз. 2022HD UH 35 2.0 TDI MT (140 к.с.) LR;https://auto.ria.com/newauto/auto-volkswagen-crafter-gruz-1884505.html;30 575 $;1 170 400 грн;’мельницький 
Volkswagen Touareg 2022Elegance 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1884440.html;58 203 $;2 228 000 грн;„ерн≥вц≥ 
Volkswagen Touareg 2022Ambience 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1884438.html;57 994 $;2 220 000 грн;„ерн≥вц≥ 
Volkswagen Touareg 2022Ambience 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1884444.html;56 499 $;2 162 800 грн;„ерн≥вц≥ 
Volkswagen Touareg 2022Ambience 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1884442.html;58 454 $;2 237 625 грн;„ерн≥вц≥ 
Volkswagen Tiguan 2022Elegance 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884393.html;33 036 $;1 264 619 грн;Ћьв≥в 
Volkswagen Tiguan 2022R-Line 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884418.html;35 245 $;1 349 165 грн;Ћьв≥в 
Volkswagen Crafter груз. 2022HD Express 35 2.0 TDI MT (140 к.с.) LR;https://auto.ria.com/newauto/auto-volkswagen-crafter-gruz-1884419.html;30 431 $;1 164 915 грн;Ћьв≥в 
Volkswagen Crafter груз. 2022HD 35 2.0 TDI MT (140 к.с.) LR;https://auto.ria.com/newauto/auto-volkswagen-crafter-gruz-1884420.html;29 945 $;1 146 288 грн;Ћьв≥в 
Volkswagen Multivan 2021Bulli 2.0 TDI DSG (199 к.с.) 4x4 LR;https://auto.ria.com/newauto/auto-volkswagen-multivan-1884394.html;66 484 $;2 545 000 грн;„ерн≥вц≥ 
Volkswagen Touareg 2022Elegance 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1884421.html;54 089 $;2 070 540 грн;ќдеса 
Volkswagen Tiguan 2022R-Line 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884382.html;36 152 $;1 383 900 грн;’мельницький 
Volkswagen Tiguan 2022R-Line 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884348.html;36 155 $;1 383 998 грн;’мельницький 
Volkswagen T-Roc 2022R-Line 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1884300.html;25 022 $;957 835 грн;ќдеса 
Volkswagen T-Roc 2022R-Line 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1884296.html;24 750 $;947 420 грн;ќдеса 
Volkswagen T-Roc 2022R-Line 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1884294.html;25 182 $;963 978 грн;ќдеса 
Volkswagen Tiguan 2022R-Line 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884311.html;35 057 $;1 342 000 грн;Ћьв≥в 
Volkswagen Tiguan 2022R-Line 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884304.html;36 755 $;1 407 000 грн;Ћьв≥в 
Volkswagen T-Roc 2022R-Line 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1884301.html;25 325 $;969 450 грн;ќдеса 
Volkswagen T-Roc 2022R-Line 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1884298.html;24 590 $;941 306 грн;ќдеса 
Volkswagen T-Roc 2022Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1884293.html;24 447 $;935 824 грн;ќдеса 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884092.html;33 106 $;1 267 283 грн;ќдеса 
Volkswagen Multivan 2022Bulli 2.0 TDI DSG (199 к.с.) 4x4 LR;https://auto.ria.com/newauto/auto-volkswagen-multivan-1884122.html;66 484 $;2 545 000 грн;“ерноп≥ль 
Volkswagen Passat 2021Base 1.4 TSI 7-DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-passat-1884209.html;26 717 $;1 022 719 грн; ињв 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884097.html;33 106 $;1 267 283 грн;ќдеса 
Volkswagen Passat 2022Highline 2.0 TSI 7-DSG (190 к.с.);https://auto.ria.com/newauto/auto-volkswagen-passat-1883953.html;41 876 $;1 603 013 грн;ѕолтава 
Volkswagen T-Roc 2022R-Line 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1884047.html;24 750 $;947 420 грн;ќдеса 
Volkswagen Tiguan 2022R-Line 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1884005.html;36 703 $;1 405 000 грн;∆итомир 
Volkswagen Touareg 2022R-Line 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1883857.html;78 000 $; 80 000 $;ѕолтава 
Volkswagen Tiguan 2022R-Line 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1883952.html;47 243 $;1 808 462 грн;ѕолтава 
Volkswagen Tiguan 2022R-Line 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1883823.html;36 204 $; 48 800 $;’мельницький 
Volkswagen Touareg 2022R-Line 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1884035.html;57 602 $; 61 804 $;ќдеса 
Volkswagen Tiguan 2022Elegance 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1883901.html;31 913 $; 32 753 $;ќдеса 
Volkswagen Tiguan 2022Individual 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1883855.html;41 600 $;1 594 112 грн;’мельницький 
Volkswagen Golf 2022Life 1.6 MPI AT (110 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1883954.html;27 000 $;1 033 560 грн;ѕолтава 
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1883498.html;22 700 $;868 960 грн;ќдеса 
Volkswagen Touareg 2022R-Line 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1883846.html;62 696 $; 66 131 $;∆итомир 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883492.html;22 622 $;865 977 грн;ќдеса 
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1883483.html;19 564 $; 25 600 $;’мельницький 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883563.html;22 078 $;845 148 грн;Ћьв≥в 
Volkswagen T-Roc 2022Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883566.html;29 772 $;1 139 672 грн;ѕолтава 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883280.html;23 041 $;882 000 грн;’мельницький 
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1883273.html;18 365 $;702 999 грн;’мельницький 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1883845.html;34 723 $;1 329 190 грн;∆итомир 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883382.html;23 586 $;902 861 грн;”жгород 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883562.html;22 623 $;866 000 грн;Ћьв≥в 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1883886.html;33 960 $;1 300 000 грн;≤вано-‘ранк≥вськ 
Volkswagen Arteon 2022R-Line 2.0 TDI DSG (200 к.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-arteon-1883898.html;41 588 $;1 592 000 грн;∆итомир 
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1883075.html;25 287 $;968 000 грн;“ерноп≥ль 
Volkswagen T-Cross 2022Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882935.html;22 738 $;870 424 грн;Ћьв≥в 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1877012.html;22 205 $;850 000 грн;’мельницький 
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882939.html;20 403 $;781 025 грн;Ћьв≥в 
Volkswagen Arteon 2022R-Line 2.0 TDI DSG (200 к.с.) 4x4;https://auto.ria.com/newauto/auto-volkswagen-arteon-1881811.html;50 990 $;1 951 897 грн; ињв 
Volkswagen Tiguan 2021Elegance 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1882875.html;34 809 $;1 332 500 грн;”жгород 
Volkswagen Touareg 2022Elegance 3.0 TFSI AT (340 к.с.) AWD;https://auto.ria.com/newauto/auto-volkswagen-touareg-1881327.html;55 474 $;2 123 550 грн;„ерн≥вц≥ 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882928.html;21 772 $;833 446 грн;Ћьв≥в 
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882931.html;25 040 $;958 514 грн;Ћьв≥в 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1864999.html;29 772 $;1 139 672 грн;ѕолтава 
Volkswagen Tiguan 2021Elegance 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1881248.html;48 425 $;1 853 709 грн;ѕолтава 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1872132.html;29 205 $;1 117 967 грн;ѕолтава 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1852004.html;21 772 $; 28 500 $; ињв 
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1871319.html;19 984 $;765 000 грн;∆итомир 
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882930.html;25 019 $;957 724 грн;Ћьв≥в 
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1872590.html;19 564 $;748 905 грн;’мельницький 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882926.html;21 788 $;834 060 грн;Ћьв≥в 
Volkswagen Golf 2021GTI GTI 2.0 TSI DSG (245 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1882943.html;32 437 $;1 241 683 грн;Ћьв≥в 
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1872171.html;19 592 $; 20 376 $;“ерноп≥ль 
Volkswagen Golf 2021Life 1.6 MPI AT (110 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-1883185.html;21 178 $;810 700 грн;“ерноп≥ль 
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882924.html;24 894 $;952 955 грн;Ћьв≥в 
Volkswagen Caddy пасс. 20222.0 TDI MT (102 к.с.) SCR/AdB;https://auto.ria.com/newauto/auto-volkswagen-caddy-pass-1881617.html;23 153 $; 30 300 $;„ерн≥вц≥ 
Volkswagen Multivan 2022Bulli 2.0 TDI DSG (199 к.с.) 4x4 LR;https://auto.ria.com/newauto/auto-volkswagen-multivan-1881609.html;66 745 $; 86 990 $;„ерн≥вц≥ 
Volkswagen Multivan 2022Bulli 2.0 TDI DSG (199 к.с.) 4x4 LR;https://auto.ria.com/newauto/auto-volkswagen-multivan-1878302.html;66 745 $; 86 990 $;„ерн≥вц≥ 
Volkswagen Golf GTI 20212.0 TSI DSG (245 к.с.);https://auto.ria.com/newauto/auto-volkswagen-golf-gti-1868067.html;42 045 $;1 132 650 грн; ињв 
Volkswagen Tiguan 2022R-Line 2.0 TSI DSG (220 к.с.) 4Motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1866120.html;45 163 $;1 728 840 грн; ињв 
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1880581.html;25 182 $;963 977 грн; ињв 
Volkswagen Tiguan 2022Elegance 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1880695.html;35 225 $;1 348 425 грн;„ерн≥вц≥ 
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1876772.html;19 566 $;749 000 грн;’мельницький 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1881593.html;41 600 $;1 592 448 грн;’мельницький 
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882228.html;19 070 $; 20 600 $;≤вано-‘ранк≥вськ 
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1882696.html;32 800 $;984 000 грн;Ћуцьк 
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882867.html;22 205 $;850 000 грн;≤вано-‘ранк≥вськ 
Volkswagen T6 (Transporter) груз 2019ND 2.0 TDI MT (110 к.с.) L2H1;https://auto.ria.com/newauto/auto-volkswagen-t6-transporter-gruz-1883278.html;36 200 $;1 385 736 грн;„ерн≥вц≥ 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1880461.html;30 710 $;827 297 грн; ињв 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1879769.html;33 177 $;1 270 000 грн;≤вано-‘ранк≥вськ 
Volkswagen T-Roc 2021Sport 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1872124.html;32 180 $;866 897 грн; ињв 
Volkswagen T-Roc 2021Style 1.5 TSI DSG (150 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-roc-1880460.html;29 600 $;797 394 грн; ињв 
Volkswagen T-Cross 2021Life 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1882108.html;26 900 $;1 029 732 грн;“ерноп≥ль 
Volkswagen Tiguan 2022Basis 2.0 TDI DSG (150 к.с.) 4motion;https://auto.ria.com/newauto/auto-volkswagen-tiguan-1879765.html;32 262 $;1 235 000 грн;≤вано-‘ранк≥вськ 
Volkswagen Passat 2022Highline 2.0 TSI 7-DSG (190 к.с.);https://auto.ria.com/newauto/auto-volkswagen-passat-1883158.html;32 767 $;1 254 312 грн;”жгород 
Volkswagen T-Cross 2021Style 1.0 TSI DSG (115 к.с.);https://auto.ria.com/newauto/auto-volkswagen-t-cross-1880443.html;28 635 $;771 398 грн; ињв 
